,Authors,ISBN,ISBN-13,Language,Publisher,Title,Year
0,Mark P. O. Morford,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
1,Robert J. Lenardon,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
2,Richard Bruce Wright,0002005018,9780002005012,,HarperFlamingoCanada,Clara Callan: a novel,2001
3,Carlo D'Este,0060973129,9780060973124,en,Harper Perennial,Decision In Normandy,1983
4,Gina Bari Kolata,0374157065,9780374157067,en,Macmillan,Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,1999
5,E. J. W. Barber,0393045218,9780393045215,en,W. W. Norton,The mummies of Ürümchi,1999
6,Amy Tan,0399135782,9780399135781,en,Putnam Pub Group,The Kitchen God's Wife,1991
7,Mark P. O. Morford,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
8,Robert J. Lenardon,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
9,Richard Bruce Wright,0002005018,9780002005012,,HarperFlamingoCanada,Clara Callan: a novel,2001
10,Carlo D'Este,0060973129,9780060973124,en,Harper Perennial,Decision In Normandy,1983
11,Gina Bari Kolata,0374157065,9780374157067,en,Macmillan,Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,1999
12,E. J. W. Barber,0393045218,9780393045215,en,W. W. Norton,The mummies of Ürümchi,1999
13,Amy Tan,0399135782,9780399135781,en,Putnam Pub Group,The Kitchen God's Wife,1991
14,Robert Cowley,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
15,Stephen E. Ambrose,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
16,Scott Turow,0671870432,9780671870430,,,Pleading guilty,2017
17,David Cordingly,0679425608,9780679425601,en,Random House Incorporated,Under The Black Flag: The Romance And The Reality Of Life Among The Pirates,1996
18,Ann Beattie,074322678X,9780743226783,en,Scribner,"Where You'll Find Me, And Other Stories",2002
19,David Adams Richards,0771074670,9780771074677,en,Emblem Editions,Nights Below Station Street,1997
20,Kensington,080652121X,9780806521213,,Citadel,Hitler's secret bankers: the myth of Swiss neutrality during the Holocaust,2000
21,Sheila Heti,0887841740,9780887841743,en,House of Anansi,The Middle Stories,2001
22,R. J. Kaiser,1552041778,9781552041772,,Mira Books,Jane Doe,1999
23,Jack Canfield,1558746218,9781558746213,en,Hci,A Second Chicken Soup For The Woman's Soul: 101 More Stories To Open The Hearts And Rekindle The Spirits Of Women,1998
24,Loren D. Estleman,1567407781,9781567407785,,Nova Audio Books,"Witchfinder, The (Amos Walker)",1998
25,Robert Hendrickson,1575663937,9781575663937,en,Kensington Publishing Corporation,More Cunning Than Man: A Social History Of Rats And Men,1999
26,Julia Oliver,1881320189,9781881320180,en,River City Pub,Goodbye To The Buttermilk Sky,1994
27,John Grisham,0440234743,9780440234746,en,Island Books,The Testament,1999
28,Toni Morrison,0452264464,9780452264465,en,Plume Books,Beloved: A Novel,1988
29,Scott Dikkers,0609804618,9780609804612,,Three Rivers Press,Our dumb century,1999
30,Celia Brooks Brown,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
31,Philip Webb,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
32,J. R. Parrish,1879384493,9781879384491,en,J.R. Parrish,If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others?--You Can't Make Them All Yourself!,2003
33,Mark P. O. Morford,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
34,Robert J. Lenardon,0195153448,9780195153446,en,"Oxford University Press, USA",Classical Mythology,2003
35,Richard Bruce Wright,0002005018,9780002005012,,HarperFlamingoCanada,Clara Callan: a novel,2001
36,Carlo D'Este,0060973129,9780060973124,en,Harper Perennial,Decision In Normandy,1983
37,Gina Bari Kolata,0374157065,9780374157067,en,Macmillan,Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,1999
38,E. J. W. Barber,0393045218,9780393045215,en,W. W. Norton,The mummies of Ürümchi,1999
39,Amy Tan,0399135782,9780399135781,en,Putnam Pub Group,The Kitchen God's Wife,1991
40,Robert Cowley,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
41,Stephen E. Ambrose,0425176428,9780425176429,en,Berkley Publishing Group,What If?: The World's Foremost Military Historians Imagine What Might Have Been: Essays,2000
42,Scott Turow,0671870432,9780671870430,,,Pleading guilty,2017
43,David Cordingly,0679425608,9780679425601,en,Random House Incorporated,Under The Black Flag: The Romance And The Reality Of Life Among The Pirates,1996
44,Ann Beattie,074322678X,9780743226783,en,Scribner,"Where You'll Find Me, And Other Stories",2002
45,David Adams Richards,0771074670,9780771074677,en,Emblem Editions,Nights Below Station Street,1997
46,Kensington,080652121X,9780806521213,,Citadel,Hitler's secret bankers: the myth of Swiss neutrality during the Holocaust,2000
47,Sheila Heti,0887841740,9780887841743,en,House of Anansi,The Middle Stories,2001
48,R. J. Kaiser,1552041778,9781552041772,,Mira Books,Jane Doe,1999
49,Jack Canfield,1558746218,9781558746213,en,Hci,A Second Chicken Soup For The Woman's Soul: 101 More Stories To Open The Hearts And Rekindle The Spirits Of Women,1998
50,Loren D. Estleman,1567407781,9781567407785,,Nova Audio Books,"Witchfinder, The (Amos Walker)",1998
51,Robert Hendrickson,1575663937,9781575663937,en,Kensington Publishing Corporation,More Cunning Than Man: A Social History Of Rats And Men,1999
52,Julia Oliver,1881320189,9781881320180,en,River City Pub,Goodbye To The Buttermilk Sky,1994
53,John Grisham,0440234743,9780440234746,en,Island Books,The Testament,1999
54,Toni Morrison,0452264464,9780452264465,en,Plume Books,Beloved: A Novel,1988
55,Scott Dikkers,0609804618,9780609804612,,Three Rivers Press,Our dumb century,1999
56,Celia Brooks Brown,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
57,Philip Webb,1841721522,9781841721521,en,,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,2001
58,J. R. Parrish,1879384493,9781879384491,en,J.R. Parrish,If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others?--You Can't Make Them All Yourself!,2003
59,Mary-Kate & Ashley Olsen,0061076031,9780061076039,en,Harper Collins,Mary-Kate &Amp;Amp; Ashley Starring In Switching Goals,2000
60,Robynn Clairday,0439095026,9780439095020,en,Scholastic Paperbacks,Tell Me This Isn't Happening,1999
61,Kathleen Duey,0689821166,9780689821165,en,Simon and Schuster,"Flood Mississippi, 1927",1998
62,Karen A. Bale,0689821166,9780689821165,en,Simon and Schuster,"Flood Mississippi, 1927",1998
